Season,League,Team,Minutes,Goals,Goals Conceded,xG,xG Faced,Non Penalty Shots,Non Penalty Shots Faced,xG/Shot,Opposition xG/Shot,Deep Progressions,Deep Completions,Passes Into Box,Pass OBV,Dribble & Carry OBV,Pressures,Pressures in Opposing Half,Counterpressures,Tackles,Interceptions,Non Aerial Duels,Corners,Non Throw-in Key Passes,Touches in box,Passes,Shots,Shots Outside Box,Box Cross%,Goalkeeper Long Ball%,Cumulative xG,Open Play xG
2021/22,Serie A,Sassuolo,3654.8329,1.5759,1.6252,1.2416,1.3861,13.9869,12.8542,0.0887,0.1078,43.8569,3.3736,23.0243,0.6378,0.9196,126.5721,57.7208,52.254,0,17.5821,12.928,4.8757,9.4313,31.3475,501.3143,14.1593,5.9592,0.3967,0.5391,1.3767,1.0558
2021/22,Serie A,Genoa,3658.4587,0.6642,1.476,0.7895,1.1861,9.8894,13.1858,0.0798,0.0899,30.0864,2.7306,23.9363,0.6709,0.559,157.6893,71.3169,64.9453,0,22.0912,19.828,3.813,6.3223,26.7407,385.0965,10.0616,4.3788,0.4306,0.4498,0.9244,0.5948
2021/22,Serie A,Sampdoria,3645.3874,1.1356,1.5553,0.8059,1.2676,9.5792,13.6528,0.0841,0.0928,33.6507,3.2836,25.8491,0.6254,0.5834,132.4303,57.8457,58.0925,0,21.2323,15.381,3.5304,6.419,26.0466,419.7825,9.6779,3.3576,0.4212,0.4667,0.8833,0.6016
2021/22,Serie A,Lazio,3651.7085,1.8977,1.4294,1.1583,1.0263,11.0414,11.6082,0.1049,0.0884,46.7041,3.9926,26.0508,0.6523,0.7783,126.8529,63.1184,51.8305,0,17.1536,14.8122,4.3376,7.2459,32.0397,566.3157,11.2632,4.1158,0.402,0.5781,1.332,0.9052
2021/22,Serie A,Inter Milan,3639.3945,2.0772,0.7913,1.7205,0.8864,16.5686,9.8917,0.1038,0.0896,46.8621,6.4543,32.7169,1.1371,0.9257,120.4815,60.1171,50.077,0,16.2719,15.3569,6.2565,11.054,48.4943,539.793,16.8407,4.8469,0.4497,0.5857,1.9336,1.2829
2021/22,Serie A,Fiorentina,3662.908,1.4496,1.2531,1.1735,0.9381,12.3344,8.6488,0.0951,0.1084,43.9568,4.6438,26.9785,0.7222,0.8347,123.7868,64.4733,51.6229,0,18.1331,13.6121,4.7667,8.5014,36.5119,514.1652,12.6293,4.2015,0.4836,0.5644,1.4045,0.8848
2021/22,Serie A,Bologna,3660.2844,1.0818,1.3523,0.9638,1.1088,10.8434,13.1547,0.0888,0.0842,36.784,2.2129,25.0062,0.6291,0.6649,132.6782,54.758,55.3235,0,17.7773,14.5562,4.475,7.6961,26.1373,448.4159,10.9663,4.5734,0.4513,0.4928,1.0602,0.7287
2021/22,Serie A,Torino,3665.1699,1.1295,1.0067,1.0498,0.7508,11.6147,9.552,0.0903,0.0786,42.6774,3.2658,24.1871,0.7109,0.6726,129.8002,60.0872,55.9619,0,20.7984,14.3649,4.1007,7.9805,30.0804,443.5456,11.762,4.2972,0.4903,0.3218,1.1653,0.7161
2021/22,Serie A,AC Milan,3667.7288,1.6931,0.7606,1.3533,0.7337,14.5512,9.8644,0.093,0.0743,44.0954,4.5395,28.808,0.7706,0.8538,150.3464,74.1058,55.5548,0,20.4159,18.5509,4.7849,9.6435,38.1816,472.9275,14.7475,6.0855,0.4037,0.5456,1.5071,1.0642
2021/22,Serie A,Empoli,3667.3505,1.227,1.7178,0.9801,1.4213,12.1477,16.246,0.0806,0.0874,36.6395,3.5338,29.0809,0.8003,0.709,142.6315,63.1191,55.4133,0,17.4731,16.516,4.6136,7.7549,33.2283,408.3111,12.3195,4.7118,0.4194,0.4317,1.1147,0.7432
2021/22,Serie A,Venezia,3670.542,0.8336,1.6918,0.7662,1.5101,8.7044,16.428,0.088,0.0919,30.1835,2.0596,21.8469,0.5449,0.6038,145.2782,55.6593,53.428,0,20.8661,15.766,3.0159,5.6149,21.6997,374.2907,8.827,3.6043,0.4736,0.4404,0.8623,0.5446
2021/22,Serie A,Salernitana,3686.305,0.8056,1.9043,0.8057,1.4016,10.5227,14.2581,0.0765,0.0983,33.0574,3.3692,25.2936,0.6581,0.6174,130.8383,53.224,52.0521,0,19.019,14.5755,4.5167,7.1046,28.8337,352.7678,10.6448,4.3214,0.4642,0.4856,0.9013,0.5543
2021/22,Serie A,Spezia,3671.6951,1.0049,1.7403,0.8289,1.3416,9.5105,15.5159,0.0871,0.0864,30.2966,2.7208,20.9576,0.6828,0.6003,146.9484,59.9069,57.137,0,20.4428,15.9572,3.7257,6.1524,23.0901,378.2176,9.6331,3.9954,0.4374,0.4274,0.925,0.6305
2021/22,Premier League,Arsenal,3696.778,1.485,1.1685,1.2662,0.9599,14.1204,10.1764,0.0896,0.0943,43.3593,5.356,25.8062,0.6551,0.8399,115.8846,60.4986,48.8371,0,16.8227,13.9986,5.0638,9.5921,38.3198,475.0298,14.3151,5.3073,0.4264,0.3643,1.4188,0.9686
2021/22,Premier League,Leicester City,3682.191,1.5154,1.442,1.1242,1.3018,10.6322,13.5897,0.1057,0.0957,36.394,2.9574,22.291,0.5993,0.659,146.1629,61.9115,57.3653,0,18.1114,18.3559,4.5217,6.306,28.7926,479.8691,10.6811,4.1062,0.4199,0.4773,1.1625,0.871
2021/22,Premier League,Watford,3689.9366,0.8292,1.878,0.866,1.4075,9.7074,13.5368,0.0892,0.1039,29.7078,2.8049,20.9759,0.6263,0.6032,140.1487,57.0741,61.562,0,23.3174,16.8783,3.9268,6.561,23.7808,349.4938,9.7562,3.8537,0.4883,0.3764,0.9042,0.622
2021/22,Premier League,Liverpool,3671.6409,2.3041,0.6373,1.9341,0.7966,17.6978,7.4026,0.1092,0.1076,62.359,6.2506,38.5331,1.1956,0.9409,131.3608,74.6886,63.6826,0,21.6932,14.4621,6.8879,11.153,54.4415,611.898,17.8939,5.9809,0.3931,0.5899,2.0877,1.486
2021/22,Premier League,Southampton,3704.9085,1.0445,1.6275,1.0211,1.3454,11.733,11.976,0.087,0.1123,37.9928,3.4251,26.6727,0.6821,0.7401,142.2545,63.9125,64.957,0,23.3932,16.1785,5.66,7.9192,31.8226,405.5565,11.8302,4.494,0.4881,0.3606,1.0973,0.6753
2021/22,Premier League,Everton,3713.3654,1.0421,1.5996,0.8733,1.2162,10.446,12.6273,0.0836,0.0963,32.7681,2.9084,23.4127,0.6639,0.6512,154.0974,65.9967,62.4339,0,19.9468,18.9531,3.9021,6.9559,28.2116,346.5131,10.6157,3.9263,0.4358,0.3648,1.0062,0.656
2021/22,Premier League,Crystal Palace,3691.3625,1.219,1.1215,0.9111,0.8971,9.85,10.8008,0.0925,0.083,35.5722,3.3158,23.9179,0.629,0.7482,147.2383,61.3188,62.2696,0,20.0901,16.823,4.2667,6.4366,30.379,454.6857,10.045,2.755,0.4668,0.4609,1.0639,0.6743
2021/22,Premier League,Chelsea,3686.2817,1.8555,0.8056,1.3956,0.7064,14.2826,8.1545,0.0977,0.0866,55.5681,5.298,32.1543,0.7317,0.8923,134.9896,65.7003,58.8153,0,19.4098,16.1137,5.8839,9.5462,42.0423,593.1342,14.5024,5.1515,0.4054,0.5074,1.5678,1.1365
2021/22,Premier League,Burnley,3668.5328,0.8341,1.3002,0.8877,1.2353,9.9603,14.7443,0.0891,0.0837,31.5984,2.625,28.9734,0.799,0.5113,135.5201,64.1782,54.2669,0,21.9079,15.4312,4.465,6.1577,27.2561,340.9837,10.0094,3.5818,0.4741,0.3983,0.9261,0.5741
2021/22,Premier League,Brighton & Hove Albion,3710.1163,1.0188,1.0673,0.967,0.977,11.7166,11.571,0.0825,0.0844,42.2331,4.9486,28.3333,0.7383,0.7162,137.5186,67.2674,64.8658,0,19.3093,17.49,4.8515,7.7868,36.5325,492.3888,11.8864,4.6575,0.4409,0.3737,1.1,0.7032
2021/22,Premier League,Manchester City,3677.9312,2.4225,0.6362,1.8921,0.5959,17.227,5.8483,0.1098,0.1019,68.6636,8.3933,37.1948,0.93,1.2013,104.1455,61.298,48.1575,0,17.7164,12.4309,7.7081,11.5989,58.4594,667.3534,17.4473,5.3834,0.3703,0.6578,2.0647,1.4712
2021/22,Premier League,Newcastle United,3747.4712,1.0567,1.489,0.8688,1.2113,10.6391,12.6565,0.0816,0.0957,30.6686,3.05,21.4704,0.5959,0.6133,130.2878,53.0998,52.1391,0,19.1889,16.9314,3.8425,6.6524,28.3631,330.3187,10.7112,4.3229,0.4944,0.4335,0.9252,0.6381
2021/22,Premier League,Tottenham Hotspur,3691.3819,1.6822,0.9752,1.3813,0.9342,11.9711,12.0442,0.1153,0.0775,43.2033,4.1935,25.6733,0.7248,0.8033,133.4865,51.883,51.3222,0,18.5296,16.8229,4.7055,8.1432,34.1091,492.6935,12.093,4.1204,0.396,0.5128,1.4769,1.1265
2021/22,Premier League,Manchester United,3692.2436,1.3893,1.3893,1.2358,1.1882,12.3339,12.3583,0.1001,0.0961,45.8501,4.485,25.6673,0.6015,0.7992,123.364,53.2115,50.8471,0,18.9884,15.4052,4.8019,8.7507,34.2962,489.6534,12.4558,4.5825,0.4159,0.4028,1.3313,0.9782
2021/22,Premier League,West Ham United,3707.236,1.4566,1.2381,1.0815,1.108,10.8274,13.2066,0.0998,0.0838,39.3042,4.0056,26.7045,0.7989,0.7786,119.3692,50.6415,45.9317,0,19.6156,13.4979,4.8796,6.6518,32.1425,436.789,10.9731,3.4473,0.519,0.4283,1.1957,0.794
2021/22,Premier League,Wolverhampton Wanderers,3751.1962,0.9117,1.0316,0.825,1.1874,9.6689,12.0681,0.0853,0.0983,37.2601,3.023,20.4894,0.3588,0.7189,132.6536,49.0643,52.3513,0,18.3301,17.5863,4.0307,6.3819,26.1756,446.2816,9.6929,3.9107,0.4519,0.3919,0.8438,0.6153
2021/22,Premier League,Brentford,3706.6572,1.1654,1.3597,1.0132,1.0386,10.7077,12.0431,0.0946,0.0862,31.3948,3.5692,27.2671,0.7885,0.5797,135.1217,57.715,57.9093,0,20.6385,16.8264,3.8363,6.6286,32.2446,385.9164,10.8534,3.0593,0.4523,0.4353,1.1274,0.6248
2021/22,Premier League,Norwich City,3668.9376,0.5641,2.0605,0.7395,1.5766,9.1743,15.2578,0.0806,0.1033,28.7985,2.9191,21.5866,0.5042,0.6307,149.9289,58.0631,55.7818,0,21.0469,16.6315,4.0229,5.9853,24.2849,384.0948,9.2479,4.0965,0.4693,0.4491,0.7971,0.496
2021/22,Premier League,Aston Villa,3746.8691,1.249,1.297,0.9737,1.0049,11.0732,11.3855,0.0879,0.0882,34.9731,3.5549,25.9896,0.6236,0.6365,132.1823,57.6961,49.3612,0,18.4954,16.4777,4.7079,7.4702,31.4422,384.9213,11.1453,4.0834,0.4722,0.4457,1.0302,0.6884
2021/22,Premier League,Leeds United,3721.5289,1.0157,1.9105,0.9636,1.5097,11.729,13.9055,0.0821,0.1085,34.8727,2.902,25.1509,0.5798,0.7543,170.5186,72.9619,69.1651,0,20.943,20.7011,4.1112,7.8838,30.7615,431.2663,11.8499,4.7883,0.4173,0.3712,1.0583,0.7236
