Season,League,Team,Minutes,Goals,Goals Conceded,xG,xG Faced,Non Penalty Shots,Non Penalty Shots Faced,xG/Shot,Opposition xG/Shot,Deep Progressions,Deep Completions,Passes Into Box,Pass OBV,Dribble & Carry OBV,Pressures,Pressures in Opposing Half,Counterpressures,Tackles,Interceptions,Non Aerial Duels,Corners,Non Throw-in Key Passes,Touches in box,Passes,Shots,Shots Outside Box,Box Cross%,Goalkeeper Long Ball%,Cumulative xG,Open Play xG
2024/25,Ligue 1,Lens,3376.1837,1.1196,1.0396,1.2341,1.0087,12.9021,9.9698,0.0956,0.1011,43.8779,4.0785,28.6566,0.7168,0.7676,170.5002,83.0642,72.4012,0,12.8754,17.4072,4.9582,8.5836,38.3865,490.7345,13.0354,4.1318,0.452,0.5052,1.3385,0.9953
2024/25,Serie A,Juventus,3670.4475,1.4221,0.8582,1.0628,0.6591,12.6033,9.7099,0.0843,0.0678,45.4849,3.8006,24.1523,0.5005,0.9034,142.9035,71.6479,52.6448,0,8.2387,14.7366,4.6588,8.6065,33.7397,524.0696,12.7504,4.1193,0.473,0.4526,1.1781,0.8179
2024/25,Serie A,Cagliari,3695.4719,0.9741,1.3638,0.8465,1.18,10.253,12.1527,0.0825,0.0971,29.7607,2.411,24.8899,0.7188,0.6033,144.7122,57.5244,49.2684,0,9.5224,13.7844,4.408,6.4538,27.3253,390.421,10.3261,3.1173,0.5039,0.4508,0.9037,0.6063
2024/25,Serie A,Hellas Verona,3664.6074,0.835,1.6209,0.7243,1.1603,9.1605,12.3533,0.079,0.0939,29.7412,1.8665,21.4647,0.5378,0.5759,175.3284,70.5095,55.8722,0,11.1744,17.658,3.733,6.0661,21.3665,336.5844,9.2097,3.3891,0.4473,0.3144,0.7628,0.5642
2024/25,Serie A,Napoli,3715.1496,1.4292,0.654,1.1234,0.5878,12.1852,8.7452,0.0921,0.0672,40.892,3.9002,24.3704,0.6327,0.7888,134.183,64.2208,48.0142,0,8.0911,13.3722,5.063,8.2607,34.2058,491.1403,12.3063,3.6579,0.4801,0.5448,1.2183,0.8507
2024/25,Serie A,Atalanta,3682.7533,1.9061,0.9042,1.3801,0.9067,13.221,9.873,0.1043,0.0918,50.7093,5.7918,28.2506,0.8217,0.85,145.2853,72.8503,51.9068,0,10.0685,14.5163,4.7165,9.1643,43.2312,517.7729,13.3921,3.0059,0.4645,0.441,1.5142,1.1155
2024/25,Serie A,AS Roma,3674.4512,1.3716,0.8572,1.0936,0.9121,12.5406,10.8261,0.0872,0.0842,45.7292,4.5802,26.012,0.636,0.8349,132.9504,62.6542,50.0646,0,9.5524,14.0837,4.1638,8.4747,35.2705,499.2745,12.7365,4.5312,0.4086,0.4427,1.2471,0.8311
2024/25,Serie A,Udinese,3704.0714,0.9962,1.3606,0.8189,1.1065,10.4722,12.1244,0.0782,0.0912,33.9923,2.5512,24.6134,0.5105,0.6315,145.8584,72.4311,50.3203,0,9.9134,14.0197,4.3249,6.8033,28.3066,400.9587,10.5694,4.0576,0.4995,0.4083,0.8951,0.579
2024/25,Serie A,Genoa,3710.512,0.8974,1.1885,0.7901,0.9364,9.3383,11.4485,0.0846,0.0817,27.7481,2.3042,22.606,0.5646,0.4477,157.9269,74.5126,60.6627,0,10.2842,17.1728,3.7595,6.0638,25.5409,388.1108,9.3868,3.1774,0.4635,0.4422,0.8281,0.5582
2024/25,Serie A,Lazio,3720.3679,1.4756,1.1853,1.2374,0.7791,12.8696,9.241,0.0961,0.0843,46.2051,4.1366,27.8924,0.6365,0.8565,134.7931,66.3805,49.9063,0,9.7732,13.4502,5.5397,8.4427,36.4318,476.227,13.039,4.6447,0.5143,0.526,1.37,0.9338
